VTBD.21L.SABA3A.SURMA;true;;;;;;;;;VTBD.21L.SABA3A.RW21B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;SURMA,ft|ft,90kt|280kt,ft,SABAI,ft|ft,90kt|280kt,ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.21R.SABA3A.SURMA;true;;;;;;;;;VTBD.21R.SABA3A.RW21B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;SURMA,ft|ft,90kt|280kt,ft,SABAI,ft|ft,90kt|280kt,ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03L.SEHN1B.ALEMI;true;;;;;;;;;VTBD.03L.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;ALEMI,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03R.SEHN1B.ALEMI;true;;;;;;;;;VTBD.03R.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;ALEMI,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03L.SEHN1B.ANREN;true;;;;;;;;;VTBD.03L.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;ANREN,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03R.SEHN1B.ANREN;true;;;;;;;;;VTBD.03R.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;ANREN,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03L.SEHN1B.DULEM;true;;;;;;;;;VTBD.03L.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;DULEM,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03R.SEHN1B.DULEM;true;;;;;;;;;VTBD.03R.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;DULEM,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03L.SEHN1B.GOMES;true;;;;;;;;;VTBD.03L.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;GOMES,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
VTBD.03R.SEHN1B.GOMES;true;;;;;;;;;VTBD.03R.SEHN1B.RW03B,None,,,,,,None,,,,,,,FALSE,BeginToEnd,,false;GOMES,22000ft|24000ft,90kt|300kt,22000ft,SEHNA,20500ft|22000ft,90kt|230kt,20500ft;false;;;;;;;LastLegLongestPath;Converted;false;TryVerticalFirst;;false
