flight_key,date,samples,first_time
ANA849_RJTT_VTBS_2025-02-01 15:05,2025-02-01,243,2025-02-01 21:31:36
HVN920_VDPP_VLVT_2025-02-01 10:30,2025-02-01,98,2025-02-01 11:41:38
TLM734_VTBD_VTSB_2025-02-01 00:20,2025-02-01,115,2025-02-01 00:48:59
TVJ306_VTBS_VTSP_2025-02-01 08:25,2025-02-01,399,2025-02-01 08:34:21
TVJ308_VTBS_VTSP_2025-02-01 12:20,2025-02-01,308,2025-02-01 13:06:55
TVJ353_VTSB_VTBS_2025-02-01 13:00,2025-02-01,274,2025-02-01 13:19:18
AIQ3021_VTBD_VTSP_2025-02-02 09:05,2025-02-02,165,2025-02-02 09:23:17
HKE765_VTSP_VHHH_2025-02-02 16:40,2025-02-02,166,2025-02-02 16:31:36
QNT2204_VTSP_UTTT_2025-02-02 06:30,2025-02-02,206,2025-02-02 06:28:44
TVJ2301_VTSP_VTBS_2025-02-02 09:00,2025-02-02,713,2025-02-02 08:54:20
AIQ3900_VTCC_VTPH_2025-02-03 08:25,2025-02-03,296,2025-02-03 09:10:57
CFG2362_EDDF_VTBS_2025-02-02 18:30,2025-02-03,254,2025-02-03 05:21:48
MXD540_WMKK_VTSP_2025-02-03 04:15,2025-02-03,327,2025-02-03 05:46:05
RCB8744_VTBD_VTBD_2025-02-03 08:30,2025-02-03,242,2025-02-03 08:59:16
SCP312_VTSB_VTSB_2025-02-03 07:00,2025-02-03,387,2025-02-03 06:55:58
STF01_VTBL_VTBD_2025-02-03 06:30,2025-02-03,167,2025-02-03 07:22:34
TLM752_VTBD_VTSP_2025-02-03 00:30,2025-02-03,364,2025-02-03 01:02:21
AIQ3521_VTUO_VTBD_2025-02-04 09:35,2025-02-04,247,2025-02-04 09:42:11
BKP452_VTSM_VTBD_2025-02-04 04:00,2025-02-04,309,2025-02-04 04:07:59
MXD588_WMKK_VTSS_2025-02-04 06:15,2025-02-04,164,2025-02-04 07:16:28
ORCA02_VTSR_VTSB_2025-02-04 07:30,2025-02-04,133,2025-02-04 08:54:38
ORCA03_VTSB_VTSB_2025-02-04 02:30,2025-02-04,263,2025-02-04 02:27:30
ORCA04_VTSB_VTSB_2025-02-04 06:30,2025-02-04,359,2025-02-04 06:37:06
SHARK_VTSB_VTSB_2025-02-04 06:00,2025-02-04,238,2025-02-04 05:59:00
GOLEM_VTUD_VTUD_2025-02-05 03:40,2025-02-05,396,2025-02-05 03:47:40
ORCA02_VTBP_VTSE_2025-02-05 09:15,2025-02-05,226,2025-02-05 08:55:00
ORCA04_VTSB_VTSB_2025-02-05 02:30,2025-02-05,398,2025-02-05 02:52:40
AIQ157_VTCC_VTSS_2025-02-06 08:25,2025-02-06,167,2025-02-06 08:54:54
AIQ3231_VTBD_VTSB_2025-02-06 06:10,2025-02-06,212,2025-02-06 06:27:30
PAL736_RPLL_VTBS_2025-02-06 07:05,2025-02-06,269,2025-02-06 10:02:10
SCP312_VTSB_VTSB_2025-02-06 03:00,2025-02-06,291,2025-02-06 02:55:26
AET04_VTUD_VTUD_2025-02-07 02:30,2025-02-07,1847,2025-02-07 03:02:52
AIC355_VIDP_VTBS_2025-02-07 02:50,2025-02-07,284,2025-02-07 06:24:03
BKP107_VTBS_VTSM_2025-02-06 23:30,2025-02-07,246,2025-02-07 00:23:57
BKP109_VTBS_VTSM_2025-02-06 23:10,2025-02-07,268,2025-02-07 00:31:41
CSN3081_ZGGG_VTBS_2025-02-07 04:25,2025-02-07,208,2025-02-07 06:56:40
TWB101_RKSI_VTBS_2025-02-07 10:50,2025-02-07,223,2025-02-07 17:14:40
BKP180_VTSM_VTBS_2025-02-08 14:55,2025-02-08,479,2025-02-08 15:31:41
BKP936_VDPP_VTBS_2025-02-08 15:45,2025-02-08,269,2025-02-08 16:49:54
CSZ316_VTSP_ZGSZ_2025-02-08 10:25,2025-02-08,208,2025-02-08 10:13:02
ETH629_WIII_VTBS_2025-02-08 13:50,2025-02-08,384,2025-02-08 16:42:15
TLM133_WMKP_VTBD_2025-02-08 03:30,2025-02-08,297,2025-02-08 05:02:22
TUAF107_OPIS_VTSP_2025-02-07 22:15,2025-02-08,273,2025-02-08 05:28:44
AXB910_VOHS_VTSP_2025-02-09 06:20,2025-02-09,434,2025-02-09 10:07:24
FFM3600_WMKP_VTSP_2025-02-10 05:50,2025-02-10,398,2025-02-10 06:35:26
ORCA02_VTSR_VTSE_2025-02-10 02:30,2025-02-10,180,2025-02-10 03:11:46
ORCA04_VTSB_VTSB_2025-02-10 02:30,2025-02-10,332,2025-02-10 02:43:13
RCB874_VTBD_VTBD_2025-02-10 02:30,2025-02-10,474,2025-02-10 03:36:19
IGO1081_VIDP_VTSP_2025-02-11 03:50,2025-02-11,308,2025-02-11 07:46:45
MTNG401_VTBK_VTPH_2025-02-11 02:30,2025-02-11,337,2025-02-11 02:54:44
MXD520_WMKK_VTBD_2025-02-11 01:55,2025-02-11,229,2025-02-11 04:10:42
MXD540_WMKK_VTSP_2025-02-11 04:20,2025-02-11,291,2025-02-11 05:30:04
ORCA03_VTSB_VTSB_2025-02-11 02:30,2025-02-11,363,2025-02-11 02:37:45
ORCA04_VTSB_VTSB_2025-02-11 06:00,2025-02-11,345,2025-02-11 05:57:56
ORCA05_VTUN_VTSB_2025-02-11 04:10,2025-02-11,237,2025-02-11 06:32:28
SIA8873_VTBU_VTBU_2025-02-11 02:30,2025-02-11,372,2025-02-11 03:02:28
TLM756_VTBD_VTSP_2025-02-11 05:30,2025-02-11,335,2025-02-11 05:46:48
BKP101_VTBS_VTSM_2025-02-12 23:00,2025-02-12,106,2025-02-12 23:16:09
CQH8772_VTSP_ZGGG_2025-02-12 14:05,2025-02-12,637,2025-02-12 13:20:45
AIQ3148_VTBD_VTSE_2025-02-13 00:25,2025-02-13,116,2025-02-13 00:53:39
AXM822_WMKK_VTSP_2025-02-13 08:55,2025-02-13,341,2025-02-13 10:04:35
HVN920_VDPP_VLVT_2025-02-13 10:30,2025-02-13,97,2025-02-13 12:09:59
HYS7468_VTSP_LROP_2025-02-13 17:00,2025-02-13,208,2025-02-13 17:11:54
ORCA02_VTSB_VTSB_2025-02-13 06:30,2025-02-13,166,2025-02-13 06:24:16
RCB874_VTBD_VTBD_2025-02-13 06:30,2025-02-13,203,2025-02-13 06:31:33
WHK02_VTBD_VTUD_2025-02-13 04:00,2025-02-13,237,2025-02-13 03:43:26
QNT2204_VTSP_UTTT_2025-02-14 06:10,2025-02-14,332,2025-02-14 06:19:16
RTN2112_VTBD_VTBU_2025-02-14 11:30,2025-02-14,273,2025-02-14 11:45:16
HSHCS_PHUKET AIRPARK THALANG DISTRICT PHUKET PROVINCE_PHUKET AIRPARK THALANG DISTRICT PHUKET PROVINCE_2025-02-15 10:00,2025-02-15,178,2025-02-15 10:09:21
NOK543_VTSG_VTBD_2025-02-15 07:45,2025-02-15,197,2025-02-15 08:22:12
SNY251_VTBD_VTBK_2025-02-16 02:30,2025-02-16,492,2025-02-16 02:41:03
AET09_VTPP_VTPP_2025-02-17 07:30,2025-02-17,2089,2025-02-17 08:14:08
AFL278_UUEE_VTSP_2025-02-17 04:45,2025-02-17,421,2025-02-17 14:05:28
SNY105_VTBD_VTBD_2025-02-17 03:00,2025-02-17,692,2025-02-17 03:18:06
AET09_VTPP_VTPP_2025-02-18 02:30,2025-02-18,881,2025-02-18 03:04:49
AET09_VTPP_VTPP_2025-02-18 07:30,2025-02-18,2302,2025-02-18 07:48:12
HSTVE_VTPH_VTPH_2025-02-18 03:00,2025-02-18,314,2025-02-18 03:23:02
MAS794_WMKK_VTSP_2025-02-18 07:20,2025-02-18,298,2025-02-18 08:33:12
SIA8873_VTBU_VTBU_2025-02-18 02:31,2025-02-18,1557,2025-02-18 03:37:21
BKP942_VLLB_VTBS_2025-02-19 07:45,2025-02-19,312,2025-02-19 09:11:45
CDC8021_ZSHC_VTBS_2025-02-19 04:40,2025-02-19,366,2025-02-19 09:06:16
KNIGHT_VTSB_VTSB_2025-02-19 04:30,2025-02-19,356,2025-02-19 04:22:27
KNIGHT_VTSB_VTSB_2025-02-19 11:30,2025-02-19,93,2025-02-19 11:29:36
MXD542_WMKK_VTSP_2025-02-19 11:30,2025-02-19,236,2025-02-19 12:52:28
ORCA02_VTSB_VTSB_2025-02-19 06:00,2025-02-19,251,2025-02-19 05:57:33
ORCA03_VTSB_VTSB_2025-02-19 02:30,2025-02-19,281,2025-02-19 02:31:38
SBI6309_UIII_VTBS_2025-02-19 02:40,2025-02-19,258,2025-02-19 09:12:30
SCP301_VTUD_VTUD_2025-02-19 03:00,2025-02-19,578,2025-02-19 03:18:44
T79889_VTBD_VLVT_2025-02-19 05:30,2025-02-19,219,2025-02-19 06:14:08
THA561_VVNB_VTBS_2025-02-19 03:35,2025-02-19,249,2025-02-19 05:17:08
THA917_EGLL_VTBS_2025-02-18 21:35,2025-02-19,343,2025-02-19 09:01:06
HSIPA_VTBU_VTBU_2025-02-20 08:30,2025-02-20,121,2025-02-20 08:55:01
MXD588_WMKK_VTSS_2025-02-20 04:55,2025-02-20,259,2025-02-20 06:12:58
TLM101_WSSS_VTBD_2025-02-20 04:20,2025-02-20,264,2025-02-20 06:58:45
TLM704_VTBD_VTSS_2025-02-20 01:35,2025-02-20,193,2025-02-20 01:59:06
AIQ3027_VTBD_VTSP_2025-02-21 11:20,2025-02-21,449,2025-02-21 11:32:35
AZV4571_UNKL_VTSP_2025-02-21 05:15,2025-02-21,246,2025-02-21 12:52:51
HAW271_VTUK_VTUV_2025-02-21 02:00,2025-02-21,351,2025-02-21 02:57:54
IGO1067_VOHS_VTBS_2025-02-20 22:45,2025-02-21,228,2025-02-21 01:31:13
SHARK_VTSB_VTSB_2025-02-21 05:00,2025-02-21,425,2025-02-21 04:55:57
THA221_VTBS_VTSP_2025-02-21 11:30,2025-02-21,293,2025-02-21 11:54:15
